City,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country
Pandamatenga,51.8,66,0,4.45,-18.5278,25.627,BW
Kingisepp,47.14,79,98,9.19,59.3733,28.6134,RU
Jurm,63.45,46,0,1.41,36.8648,70.8342,AF
Arrondissement de Dieppe,49.42,97,100,16.02,49.75,1.1667,FR
Yumen,70.54,14,4,3.65,40.2833,97.2,CN
Springfield,66.85,96,1,4.0,37.2153,-93.2982,US
Tigil',47.5,59,100,9.86,57.8,158.6667,RU
Launceston,58.64,58,75,8.43,-41.45,147.1667,AU
Limburg,48.27,84,38,1.99,51.25,6.0,NL
Sørland,43.21,75,0,22.15,67.667,12.6934,NO
Cherskiy,63.3,33,16,15.37,68.75,161.3,RU
Yulara,61.03,32,100,16.04,-25.2406,130.9889,AU
Acajutla,79.38,80,100,15.41,13.5928,-89.8275,SV
Srednekolymsk,57.65,41,73,22.53,67.45,153.6833,RU
Pacific Grove,59.29,77,20,1.99,36.6177,-121.9166,US
Moerai,78.53,78,39,6.15,-22.4333,-151.3333,PF
Khani,51.37,92,17,3.33,41.9563,42.9566,GE
Ferrol,51.13,80,93,6.53,43.4832,-8.2369,ES
Half Moon Bay,59.79,72,20,10.36,37.4636,-122.4286,US
Buenos Aires,52.63,54,0,2.3,-34.6132,-58.3772,AR
Tortolì,62.42,36,0,8.05,39.9256,9.6572,IT
Āsosa,64.54,68,28,1.68,10.0667,34.5333,ET
Ambunti,88.27,60,78,2.62,-4.2365,142.8448,PG
Nogliki,40.21,73,100,10.49,51.8333,143.1667,RU
Hofn,44.11,84,99,10.31,64.2539,-15.2082,IS
Turukhansk,33.73,60,37,17.63,65.8167,87.9833,RU
Dukat,39.15,65,92,6.8,62.55,155.55,RU
Navsari,82.29,70,90,14.05,20.9524,72.9324,IN
Nordfjordeid,49.51,78,95,3.62,61.9063,5.9915,NO
Mineiros,65.12,78,1,3.22,-17.5694,-52.5511,BR
Gyönk,46.38,88,0,3.87,46.556,18.4769,HU
Aden,85.57,71,53,11.63,12.7794,45.0367,YE
Mayo,66.96,90,1,7.0,38.8876,-76.5119,US
Daru,81.19,67,15,15.9,-9.0763,143.2092,PG
La Ronge,43.05,33,20,12.66,55.1001,-105.2842,CA
Marabu,89.74,66,20,0.36,4.4148,114.0089,MY
Mayumba,77.4,93,29,7.05,-3.432,10.6554,GA
Nemours,50.02,93,100,16.75,48.2751,2.6908,FR
Meybod,78.82,21,0,6.22,32.2501,54.0166,IR
San Cristobal,75.38,97,92,4.25,7.7669,-72.225,VE
Walvis Bay,54.55,82,0,8.19,-22.9575,14.5053,NA
Esik,69.22,43,51,1.88,43.3552,77.4525,KZ
Dudinka,25.07,88,8,10.36,69.4058,86.1778,RU
Donskoye,53.82,96,87,5.48,45.4552,41.9741,RU
Minas,54.52,79,0,2.48,-34.3759,-55.2377,UY
Wenling,78.91,75,71,12.48,28.3669,121.36,CN
Sarkand,75.74,35,0,0.76,45.41,79.9186,KZ
Port Blair,84.24,84,90,9.22,11.6667,92.75,IN
Fairbanks,65.62,27,1,9.22,64.8378,-147.7164,US
Atar,82.78,20,6,8.61,20.5169,-13.0499,MR
Kuusamo,37.44,87,0,4.61,65.9667,29.1833,FI
High Level,53.71,26,75,7.07,58.5169,-117.136,CA
Urmia,49.55,87,20,3.65,37.5527,45.0761,IR
Ucluelet,54.12,79,99,1.01,48.9329,-125.5528,CA
Mimongo,69.87,97,100,1.39,-1.6195,11.6068,GA
Boyuibe,57.56,71,15,4.47,-20.4167,-63.2833,BO
Tamandaré,76.59,86,46,9.64,-8.7597,-35.1047,BR
Iwanai,58.84,65,1,12.1,42.9744,140.5089,JP
Bereda,44.38,100,100,2.93,43.2686,-7.5406,ES
Bushenyi,58.06,93,100,2.1,-0.5853,30.2114,UG
Turan,91.38,55,20,1.14,16.0678,108.2208,VN
Departamento de Maldonado,47.59,71,4,4.0,-34.6667,-54.9167,UY
Wamba,76.15,82,100,3.44,8.9333,8.6,NG
Darhan,57.34,51,99,12.66,49.4867,105.9228,MN
Sept-Îles,49.12,92,75,1.01,50.2001,-66.3821,CA
Boende,74.93,74,73,1.21,-0.2167,20.8667,CD
Gimli,37.45,81,100,21.85,50.6336,-96.9907,CA
Sangīn,80.49,16,0,11.41,32.0728,64.8359,AF
Lewistown,67.12,96,1,0.0,40.5992,-77.5714,US
Thurso,48.45,94,100,6.29,58.5927,-3.5259,GB
Dul'durga,42.89,86,100,4.16,50.6761,113.5931,RU
Certaldo,48.96,92,0,1.1,43.547,11.0402,IT
Mogadishu,78.98,76,13,16.44,2.0371,45.3438,SO
Deputatsky,50.0,33,0,19.24,69.3,139.9,RU
Nicoya,81.95,80,100,6.08,10.1483,-85.452,CR
Juegang,65.43,84,100,15.73,32.3174,121.1855,CN
Hiroshima,71.58,9,100,4.92,34.3963,132.4594,JP
Porto-Novo,80.08,87,100,8.99,6.4965,2.6036,BJ
Key Largo,76.77,68,3,17.45,25.0865,-80.4473,US
Laguna,77.68,39,1,5.99,38.421,-121.4238,US
Gizo Government Station,82.09,80,100,20.09,-8.103,156.8419,SB
Aswān,80.94,18,0,8.46,24.0934,32.907,EG
Belaya Gora,57.25,43,98,17.85,68.5333,146.4167,RU
Lake City,75.85,69,1,4.61,30.1897,-82.6393,US
Nieuw Amsterdam,78.03,94,94,6.44,5.8833,-55.0833,SR
Waipawa,52.34,57,37,8.34,-41.4122,175.5153,NZ
Muzhi,39.09,94,100,11.1,65.3667,64.6667,RU
Basco,84.54,66,3,8.86,20.4487,121.9702,PH
Litovko,41.77,88,100,4.88,49.2361,135.1742,RU
Seoul,68.63,46,0,8.43,37.5683,126.9778,KR
Øksfjord,35.67,83,71,2.55,70.2396,22.3479,NO
Alcântara,80.8,85,23,5.82,-2.4089,-44.4147,BR
Ambon City,87.94,66,40,13.85,-3.6954,128.1814,ID
Katherine,86.32,37,0,15.84,-14.4667,132.2667,AU
Mahibadhoo,84.0,76,100,22.06,3.7833,72.9667,MV
Yar-Sale,38.35,63,97,7.38,66.8333,70.8333,RU
Payo,84.06,71,32,2.15,-3.7508,103.6372,ID
Raudeberg,51.67,83,98,12.19,61.9875,5.1352,NO
Dvinskoy,38.5,92,100,6.89,62.1535,45.1175,RU
Teahupoo,76.96,74,88,5.84,-17.8333,-149.2667,PF
Coquimbo,53.33,93,0,5.06,-29.9533,-71.3436,CL
Griffith,73.04,70,98,4.0,41.5284,-87.4237,US
Vrangel',55.13,67,27,9.62,42.7297,133.0839,RU
Morant Bay,81.54,87,18,10.56,17.8815,-76.4093,JM
Antofagasta,58.28,67,85,4.85,-23.65,-70.4,CL
